Date,Score
5/1994,-0.005136544448384456
6/1994,-0.006177935982433825
7/1994,-0.010281905378188868
8/1994,0.017204253590036814
9/1994,0.01867542482295909
10/1994,0.040199279293756135
11/1994,0.04472694987741907
12/1994,0.04002232383297907
1/1995,-0.016281174357738615
2/1995,-0.020088266550881303
3/1995,-0.017708814514806263
4/1995,-0.023243938377982176
5/1995,-0.027437852501231392
6/1995,-0.02615120806551794
7/1995,-0.025248952085725845
8/1995,-0.038559154701462595
9/1995,-0.040036028681066906
10/1995,-0.019827731814252396
11/1995,-0.020552923641770617
12/1995,-0.0247341160646015
1/1996,-0.028473008629782977
2/1996,-0.018270358922353694
3/1996,-0.015929134968681126
4/1996,-0.02684449613008275
5/1996,-0.020806971223183625
6/1996,-0.022507148984629723
7/1996,-0.02521640854711074
8/1996,-0.021031075469428253
9/1996,-0.02269525323646146
10/1996,-0.01774942974480979
11/1996,-0.018419003588345553
12/1996,-0.012816099247367735
1/1997,-0.0030230093411094615
2/1997,-0.0037060038839737052
3/1997,-0.004915123990150951
4/1997,-0.0016669440305258111
5/1997,-8.266153744727603e-05
6/1997,0.0021309777384925584
7/1997,-0.014281451514035386
8/1997,-0.012845254628081565
9/1997,-0.013227989478670413
10/1997,-0.008439514639324897
11/1997,-0.010549154730414382
12/1997,-0.013617219179705226
1/1998,-0.013362367062330334
2/1998,-0.016015383946314837
3/1998,-0.013771037054794044
4/1998,-0.04365922461870206
5/1998,-0.04186477462830439
6/1998,-0.040003659429207694
7/1998,-0.08828042633516464
8/1998,-0.09409675172403568
9/1998,-0.10035067783864775
10/1998,-0.10309944354792742
11/1998,-0.09978797118309868
12/1998,-0.10071029703650852
1/1999,-0.10016815557734614
2/1999,-0.1080388272712413
3/1999,-0.10842681072463325
4/1999,-0.06807081133292116
5/1999,-0.0716007674944314
6/1999,-0.07260124304468561
7/1999,-0.07245356283374632
8/1999,0.005577838965932691
9/1999,0.008387816083370874
10/1999,0.004272696528487372
11/1999,0.006876326462455334
12/1999,0.0038126471880543258
1/2000,-0.05560409245154533
2/2000,-0.05967031900090637
3/2000,-0.04707080011394237
4/2000,-0.05507321618828742
5/2000,-0.05075185229256143
6/2000,-0.05456539963979892
7/2000,-0.06123202840703055
8/2000,-0.03253307082631707
9/2000,-0.03297009800083615
10/2000,-0.005096917621108787
11/2000,-0.008926181366059022
12/2000,-0.01474626675334503
1/2001,-0.013388957899427591
2/2001,-0.010789343091557125
3/2001,-0.016225645832938857
4/2001,-0.06095213265516721
5/2001,-0.04899451716552482
6/2001,-0.042518060077422225
7/2001,-0.04513287653606178
8/2004,-0.06659521409054837
9/2004,-0.06702044325807043
10/2004,-0.06589602592498857
11/2004,-0.06217296453683547
12/2004,-0.06232942060100389
1/2005,-0.042697122978655314
2/2005,-0.03923460610742394
3/2005,-0.040357174419103796
4/2005,-0.037157540702685954
5/2005,-0.037988294531749026
6/2005,-0.03523993618702545
7/2005,-0.03301568395958024
8/2005,-0.06539909836963563
9/2005,-0.06864912751034288
10/2005,-0.08934069706029385
11/2005,-0.09075913899202141
12/2005,-0.09154368642372329
1/2006,-0.08485947239491179
2/2006,-0.0832862825443982
3/2006,-0.08248875032887969
4/2006,-0.08044146998542404
5/2006,-0.07800167493817595
6/2006,-0.07907136966660928
7/2006,-0.08207451907167083
8/2006,-0.05261854001039151
9/2006,-0.05121930198081822
10/2006,-0.00172062247148676
11/2006,-1.3902212988820191e-05
12/2006,0.003721034965298243
1/2007,0.004386066793079926
2/2007,0.008589437731462746
3/2007,0.011088759696118425
4/2007,-0.02465582864710202
5/2007,-0.025987725751301118
6/2007,-0.023914795413710794
7/2007,-0.023892621719134668
8/2007,-0.031595733171744265
9/2007,-0.029065766437491623
10/2007,-0.06215679899859246
11/2007,-0.06237341479322594
12/2007,-0.06618111779700159
1/2008,-0.04673412708350694
2/2008,-0.045898204602457034
3/2008,-0.04874373192230362
4/2008,-0.13297750217851234
5/2008,-0.1370069029568764
6/2008,-0.13249669551426238
7/2008,-0.13557638100407116
8/2008,-0.13994005381890012
9/2008,-0.13981146676285702
10/2008,-0.06931536949950576
11/2008,-0.07001520082320076
12/2008,-0.0716904118769572
1/2009,-0.07126890134438049
2/2009,-0.06951896919572852
3/2009,-0.07094866286768439
4/2009,-0.05667057824070882
5/2009,-0.050842835557334876
6/2009,-0.04839202629736875
7/2009,-0.05382446278886635
8/2010,-0.06355323475442458
9/2010,-0.06678079481921227
10/2010,-0.06559083207081831
11/2010,-0.0639860934886285
12/2010,-0.06396295240120495
1/2011,-0.08351238270937392
2/2011,-0.08113204840303528
3/2011,-0.07960682673492797
4/2011,-0.08265570181800684
5/2011,-0.08062590317609226
6/2011,-0.081915537794926
7/2011,-0.08453404364450698
8/2011,-0.09512041555264968
9/2011,-0.09116539601095436
10/2011,-0.10745439406424083
11/2011,-0.10584889996920697
12/2011,-0.10410074820696336
1/2012,-0.09365970665072869
2/2012,-0.09109910796024667
3/2012,-0.09048740524721574
4/2012,-0.028933033837365972
5/2012,-0.030360436094997657
6/2012,-0.03155134769679266
7/2012,-0.031815671217390214
8/2012,-0.11130730550677567
9/2012,-0.10920148304474336
10/2012,-0.06976609560670557
11/2012,-0.0687587895223647
12/2012,-0.06707562814354294
1/2013,-0.046437610663784205
2/2013,-0.0441058354758971
3/2013,-0.04492073812421784
4/2013,-0.08490165298823919
5/2013,-0.08632590080779735
6/2013,-0.08658578948537195
7/2013,-0.08719253043609398
8/2013,-0.08591825899939952
9/2013,-0.08505580103923674
10/2013,-0.028449803274935116
11/2013,-0.02787133046603155
12/2013,-0.029068678511491735
1/2014,-0.0603705893713014
2/2014,-0.06311443767464343
3/2014,-0.06391875727601028
4/2014,-0.02812876533911052
5/2014,-0.029383339158732705
6/2014,-0.029392420900489012
7/2014,-0.030176474091697027
8/2014,-0.030762640444126802
9/2014,-0.030920243249192608
10/2014,-0.06838070310126645
11/2014,-0.06685268548287288
12/2014,-0.06707455216328374
1/2015,-0.06721322908725433
2/2015,-0.06622279741707622
3/2015,-0.06594306327920424
4/2015,-0.0728398016220189
5/2015,-0.07319469109394933
6/2015,-0.07427314397852848
7/2015,-0.07502867378845353
8/2015,-0.0849551587372025
9/2015,-0.08514478388090983
10/2015,-0.08487980478135276
11/2015,-0.08523073254574132
12/2015,-0.08427031828514113
1/2016,-0.08356437469266184
2/2016,-0.08792897115777587
3/2016,-0.08906392132642457
4/2016,-0.08946115347336817
5/2016,-0.09025646485958634
6/2016,-0.09020704330837241
7/2016,-0.08930769200587026
8/2016,-0.13609684605775588
9/2016,-0.13550363804700288
10/2016,-0.12481326669394614
11/2016,-0.12376835588263918
12/2016,-0.12223712106239734
1/2017,-0.12371376450509963
2/2017,-0.11967101168502929
3/2017,-0.12090034907773574
4/2017,-0.12196119269286274
5/2017,-0.12428743205382123
6/2017,-0.12574812143524275
7/2017,-0.12575630100348256
8/2017,-0.05162280843647338
9/2017,-0.05226042655525935
10/2017,-0.039329171289202575
11/2017,-0.03846602837034187
12/2017,-0.03940992272410181
1/2018,-0.07654678399454197
2/2018,-0.07638063287767927
3/2018,-0.07644473589885697
4/2018,-0.15388572780604598
5/2018,-0.15476899042552725
6/2018,-0.15564887230122884
7/2018,-0.15398470109432585
